StudyID;EffectID;Author;Year;N;dmh;vardmh;dmin;vardmin;MindfulnessIntervention;ActiveControl;TAUcontrol;WaitlistControl;PsychiatricSample;NonpsychiatricSample;MedicalSample;TreatmentGroup;ControlGroup;TreatmentDuration;StudyQuality;MindfulnessMeasure;RoB1;RoB2;RoB3;RoB4;RoB5;RoBt
110;220;Polusny;2015;116;0,264624592;0,011313031;0,061542765;0,017274030;0;1;0;0;1;0;0;MBSR;active;26,50;7;FFMQ;2;0;0;1;0;2
111;221;Pradhan;2007;63;0,443738068;0,023677363;0,011423910;0,032260169;1;0;0;0;0;0;1;MBSR;waitlist;28,00;1;MAAS;1;0;2;1;1;2
111;222;Pradhan;2007;63;0,236898546;0,021515080;0,141711967;0,031563786;0;0;0;1;0;0;1;MBSR;waitlist;28,00;1;MAAS;1;0;2;1;1;2
112;223;Reich;2017;322;0,264926663;0,003935101;0,166300638;0,006583298;1;0;0;0;0;0;1;other;TAU;12,00;4;other;1;0;0;1;0;1
112;224;Reich;2017;322;0,035410364;0,004050412;0,182385272;0,006963234;0;0;1;0;0;0;1;other;TAU;12,00;4;other;1;0;0;1;0;1
113;225;Rimes;2013;37;0,200666668;0,048055550;0,625334656;0,074720107;1;0;0;0;0;0;1;MBCT;waitlist;18,00;4;FFMQ;0;2;2;1;1;2
113;226;Rimes;2013;37;-0,110113417;0,039864866;0,068545146;0,052755222;0;0;0;1;0;0;1;MBCT;waitlist;18,00;4;FFMQ;0;2;2;1;1;2
114;227;Roemer;2008;31;1,494241623;0,083384206;0,939741925;0,075384653;1;0;0;0;1;0;0;other;waitlist;18,00;3;other;1;0;0;1;1;1
114;228;Roemer;2008;31;0,206647557;0,037057312;0,054458200;0,046992463;0;0;0;1;1;0;0;other;waitlist;18,00;3;other;1;0;0;1;1;1
115;229;Roeser;2013;119;0,466416331;0,013939334;0,619876037;0,022076355;1;0;0;0;0;1;0;other;waitlist;36,00;1;FFMQ;2;2;2;1;1;2
115;230;Roeser;2013;119;0,093408598;0,011402157;0,083287076;0,017007938;0;0;0;1;0;1;0;other;waitlist;36,00;1;FFMQ;2;2;2;1;1;2
116;231;Sampl;2017;109;0,586689265;0,018177818;0,246632492;0,020204192;1;0;0;0;0;1;0;other;waitlist;20,00;1;MAAS;1;0;0;1;1;1
116;232;Sampl;2017;109;-0,132782552;0,013740404;-0,189917463;0,017552316;0;0;0;1;0;1;0;other;waitlist;20,00;1;MAAS;1;0;0;1;1;1
117;233;Schmidt;2011;118;0,339632358;0,012028754;0,504412953;0,021268230;1;0;0;0;0;0;1;MBSR;active;27,00;6;other;0;0;0;1;0;1
117;234;Schmidt;2011;118;0,266933931;0,011116744;0,172412828;0,018122555;0;1;0;0;0;0;1;MBSR;active;27,00;6;other;0;0;0;1;0;1
118;235;Schoultz;2015;44;0,220815008;0,057207068;0,669602623;0,102015320;1;0;0;0;0;0;1;MBCT;TAU;21,00;3;MAAS;1;2;1;1;0;2
118;236;Schoultz;2015;44;-0,186471743;0,060969268;0,282552601;0,086659832;0;0;1;0;0;0;1;MBCT;TAU;21,00;3;MAAS;1;2;1;1;0;2
119;237;Schroeder;2016;33;0,399941232;0,045088154;0,216061604;0,068222754;1;0;0;0;0;1;0;other;waitlist;13,00;2;MAAS;1;0;0;1;1;1
119;238;Schroeder;2016;33;0,042693102;0,045443270;-0,315789474;0,074990107;0;0;0;1;0;1;0;other;waitlist;13,00;2;MAAS;1;0;0;1;1;1
120;239;Schroevers;2013;24;1,096203996;0,133402633;0,564216881;0,073896659;1;0;0;0;0;0;1;other;waitlist;8,00;2;FFMQ;1;0;0;1;1;1
120;240;Schroevers;2013;24;-0,420990090;0,090718027;0,103960979;0,062884635;0;0;0;1;0;0;1;other;waitlist;8,00;2;FFMQ;1;0;0;1;1;1
121;241;Shahar;2010;52;0,510841311;0,031094497;0,439616019;0,042178120;1;0;0;0;1;0;0;MBCT;waitlist;30,00;4;MAAS;2;2;2;1;1;2
121;242;Shahar;2010;52;-0,141205447;0,035490454;-0,620844098;0,062774931;0;0;0;1;1;0;0;MBCT;waitlist;30,00;4;MAAS;2;2;2;1;1;2
122;243;Shapiro;2011;32;0,369238409;0,047602671;0,549623025;0,076736182;1;0;0;0;0;1;0;MBSR;waitlist;12,00;1;MAAS;1;2;2;1;1;2
122;244;Shapiro;2011;32;0,023694588;0,044774844;0,137351566;0,067295515;0;0;0;1;0;1;0;MBSR;waitlist;12,00;1;MAAS;1;2;2;1;1;2
123;245;Simpson;2017;50;0,823333128;0,038425494;0,403367096;0,043254100;1;0;0;0;0;0;1;MBSR;waitlist;20,00;4;MAAS;0;2;2;1;0;2
123;246;Simpson;2017;50;0,140380306;0,027396045;0,664795946;0,048839073;0;0;0;1;0;0;1;MBSR;waitlist;20,00;4;MAAS;0;2;2;1;0;2
124;247;Simshaeuser;2017;54;0,270321211;0,023153893;0,421099544;0,040320830;1;0;0;0;0;0;1;MBCT;waitlist;25,00;1;other;0;0;0;1;0;1
124;248;Simshaeuser;2017;54;-0,003831845;0,022314450;-0,143434343;0,037418026;0;0;0;1;0;0;1;MBCT;waitlist;25,00;1;other;0;0;0;1;0;1
125;249;Song;2015;50;1,395728734;0,073307721;0,985797922;0,070757084;1;0;0;0;0;1;0;MBSR;waitlist;16,00;1;MAAS;1;2;2;1;1;2
125;250;Song;2015;50;0,512850424;0,039169264;0,089237025;0,043651375;0;0;0;1;0;1;0;MBSR;waitlist;16,00;1;MAAS;1;2;2;1;1;2
126;251;Spragg;2011;30;-0,047019045;0,083624217;0,195769179;0,089633642;1;0;0;0;0;1;0;MBSR;waitlist;27,50;3;KIMS;1;2;1;1;1;2
126;252;Spragg;2011;30;-0,006304859;0,089204238;0,060717495;0,079445449;0;0;0;1;0;1;0;MBSR;waitlist;27,50;3;KIMS;1;2;1;1;1;2
127;253;Strauss;2012;28;1,284027014;0,130311620;0,777245820;0,093003967;1;0;0;0;1;0;0;other;TAU;18,00;1;other;1;0;2;1;1;2
127;254;Strauss;2012;28;-0,313467137;0,074937916;-0,422705840;0,077810008;0;0;1;0;1;0;0;other;TAU;18,00;1;other;1;0;2;1;1;2
128;255;Tan;2015;91;0,308916327;0,016682381;0,522841918;0,020482145;1;0;0;0;1;0;0;other;TAU;5,00;3;other;2;2;2;1;1;2
128;256;Tan;2015;91;0,077203973;0,018664685;-0,101936228;0,020956600;0;0;1;0;1;0;0;other;TAU;5,00;3;other;2;2;2;1;1;2
129;257;Tanay;2012;53;0,470561021;0,041589922;0,659424573;0,060305201;1;0;0;0;0;1;0;other;waitlist;4,00;2;other;1;1;2;1;1;2
129;258;Tanay;2012;53;0,097343149;0,018599154;0,191178459;0,022338487;0;0;0;1;0;1;0;other;waitlist;4,00;2;other;1;1;2;1;1;2
130;259;Valenstein;2019;75;0,662134946;0,050883264;0,424886559;0,064133194;1;0;0;0;1;0;0;other;waitlist;4,00;4;FFMQ;1;0;0;1;1;1
130;260;Valenstein;2019;75;0,538020248;0,024724373;0,245664570;0,033231469;0;0;0;1;1;0;0;other;waitlist;4,00;4;FFMQ;1;0;0;1;1;1
131;261;Van Alderen;2012;219;0,500939206;0,006650468;0,510046587;0,007053139;1;0;0;0;1;0;0;MBCT;TAU;26,00;5;KIMS;0;2;0;1;0;2
131;262;Van Alderen;2012;219;0,012880209;0,005866081;-0,037820100;0,006091112;0;0;1;0;1;0;0;MBCT;TAU;26,00;5;KIMS;0;2;0;1;0;2
132;263;Van Dam;2013;56;0,918910079;0,042891555;0,842533113;0,048392647;1;0;0;0;1;0;0;other;waitlist;22,00;2;other;1;0;0;1;1;1
132;264;Van Dam;2013;56;0,120774406;0,048794989;0,060748643;0,057837634;0;0;0;1;1;0;0;other;waitlist;22,00;2;other;1;0;0;1;1;1
133;265;Van Dijk;2017;167;0,174362325;0,008178128;0,190023083;0,012265715;1;0;0;0;0;1;0;MBSR;waitlist;16,00;3;FFMQ;2;0;0;1;1;2
133;266;Van Dijk;2017;167;0,103495917;0,008008209;-0,057347302;0,011924338;0;0;0;1;0;1;0;MBSR;waitlist;16,00;3;FFMQ;2;0;0;1;1;2
134;267;van Ravesteijn;2013;125;0,175841147;0,011699975;0,121876381;0,010474783;1;0;0;0;0;0;1;MBCT;TAU;26,00;3;FFMQ;0;0;0;1;0;1
134;268;van Ravesteijn;2013;125;0,100837760;0,012656567;0,065640107;0,011381595;0;0;1;0;0;0;1;MBCT;TAU;26,00;3;FFMQ;0;0;0;1;0;1
135;269;van Son;2014;139;0,678895145;0,009368170;0,542534239;0,016388167;1;0;0;0;0;0;1;MBCT;TAU;16,00;3;FFMQ;0;0;0;1;0;1
135;270;van Son;2014;139;0,175248596;0,007819467;0,173228824;0,014710205;0;0;1;0;0;0;1;MBCT;TAU;16,00;3;FFMQ;0;0;0;1;0;1
136;271;Verweij;2017;148;0,275955375;0,008819872;0,443968909;0,015472594;1;0;0;0;0;1;0;MBSR;waitlist;26,00;3;FFMQ;2;0;0;1;0;2
136;272;Verweij;2017;148;0,060321867;0,008983714;0,138247380;0,015068003;0;0;0;1;0;1;0;MBSR;waitlist;26,00;3;FFMQ;2;0;0;1;0;2
137;273;Vieten;2008;34;0,545840498;0,055756889;0,252982213;0,079384615;1;0;0;0;0;1;0;other;waitlist;16,00;3;MAAS;1;2;2;1;1;2
137;274;Vieten;2008;34;-0,141208695;0,032355215;-0,308002288;0,058190706;0;0;0;1;0;1;0;other;waitlist;16,00;3;MAAS;1;2;2;1;1;2
138;275;Vollestad;2011;76;0,675642113;0,017592305;0,526393391;0,029193462;1;0;0;0;1;0;0;MBSR;waitlist;24,00;2;FFMQ;1;0;0;1;1;1
138;276;Vollestad;2011;76;0,056416704;0,015407924;-0,096962574;0,027154078;0;0;0;1;1;0;0;MBSR;waitlist;24,00;2;FFMQ;1;0;0;1;1;1
139;277;Wallmark;2012;60;0,959286432;0,073005761;0,900070655;0,070253180;1;0;0;0;0;1;0;other;waitlist;10,00;0;FFMQ;1;2;2;1;1;2
139;278;Wallmark;2012;60;0,191594472;0,046288828;0,110410558;0,045731602;0;0;0;1;0;1;0;other;waitlist;10,00;0;FFMQ;1;2;2;1;1;2
140;279;White;2011;27;0,507105806;0,058707534;0,053725540;0,097209642;1;0;0;0;1;0;0;ACT;TAU;10,00;3;other;2;2;2;1;1;2
140;280;White;2011;27;0,070376317;0,049928274;0,053725540;0,058739692;0;0;1;0;1;0;0;ACT;TAU;10,00;3;other;2;2;2;1;1;2
141;281;Witkiewitz;2013;168;0,394230050;0,019594703;0,365106904;0,013091143;1;0;0;0;1;0;0;other;TAU;16,00;5;other;2;0;0;1;1;2
141;282;Witkiewitz;2013;168;0,194098416;0,025470927;-0,127965721;0,016935059;0;0;1;0;1;0;0;other;TAU;16,00;5;other;2;0;0;1;1;2
142;283;Woods;2006;28;0,785607316;0,077471129;0,510378438;0,094186923;1;0;0;0;1;0;0;other;waitlist;10,00;1;AAQ;1;2;2;1;1;2
142;284;Woods;2006;28;-0,075727178;0,053351106;0,265829147;0,079640967;0;0;0;1;1;0;0;other;waitlist;10,00;1;AAQ;1;2;2;1;1;2
143;285;Xu;2016;54;0,654916492;0,037849605;0,545772249;0,060470193;1;0;0;0;0;1;0;other;waitlist;16,50;1;FFMQ;1;2;1;1;1;2
143;286;Xu;2016;54;-0,029920690;0,026577008;-0,082718926;0,047781962;0;0;0;1;0;1;0;other;waitlist;16,50;1;FFMQ;1;2;1;1;1;2
144;287;Zettle;2003;37;0,335898502;0,088034492;0,693767337;0,103388047;1;0;0;0;0;1;0;ACT;active;6,00;4;AAQ;1;2;1;1;1;2
144;288;Zettle;2003;37;1,057955844;0,129969607;1,256490535;0,149115353;0;1;0;0;0;1;0;ACT;active;6,00;4;AAQ;1;2;1;1;1;2
145;289;Zhang;2014;65;0,309698600;0,023391655;0,543641429;0,033758029;1;0;0;0;0;1;0;other;TAU;8,00;3;other;1;2;2;1;1;2
145;290;Zhang;2014;65;-0,024195261;0,024310782;0,103164845;0,032429726;0;0;1;0;0;1;0;other;TAU;8,00;3;other;1;2;2;1;1;2
146;291;Zhang;2018;64;1,057845877;0,036795244;1,162143290;0,052352766;1;0;0;0;0;1;0;other;TAU;24,00;3;MAAS;0;1;0;1;1;1
146;292;Zhang;2018;64;0,081339307;0,025090750;0,054938723;0,033383638;0;0;1;0;0;1;0;other;TAU;24,00;3;MAAS;0;1;0;1;1;1
