StudyID;SampleID;ESID;CaseID_Count;2_Author;3_Year;interval;timepoints;10_Size;11_Mage;16_CNT;17_Eth;18_Female;Negative/Positive+LS;30_Covid;31_WBm;33_Relt1;34_Relt;avg_rel;WBmi;WBsdi;WBmj;WBsdj;WBcorrij;WBtitj;region;income_level;agem1ic1;agem1ic2;agem1ic3;timelagc;agem2i;corrmean;corrx;es_d;es_dyear;v_d;v_dyear
11191;12111910;290;3;Wu & Becker;2023;2-3;4;1841;12,2;Germany;Not specified;0,48;0;no;The Cantril Ladder;0,9;0,85;0,88;3,36;0,71;3,18;0,73;0,36;2,5;Europe;High income;-1,52;2,3104;-3,511808;1,51;14,7;0,524095238;0,36;-0,253521127;-0,101408451;0,00071273;0,000114037
11191;12111910;291;3;Wu & Becker;2023;3-4;4;1841;12,2;Germany;Not specified;0,48;0;no;The Cantril Ladder;0,9;0,85;0,88;3,18;0,73;3,13;0,74;0,56;1;Europe;High income;-1,52;2,3104;-3,511808;0,01;13,2;0,524095238;0,56;-0,068493151;-0,068493151;0,000479275;0,000479275
11206;12112060;292;2;Yiang et al.;2023;1-2;3;2001;16,01;China;Not specified;0,57;0;no;"Student's life satisfaction scale (SLSS; Huebner, 1991)";0,72;0,79;0,76;3,92;1,05;4;1,01;0,47;0,5;Asia;Upper middle income;2,29;5,2441;12,008989;-0,49;16,51;0,524095238;0,47;0,076190476;0,152380952;0,000531186;0,002124743
11206;12112060;293;2;Yiang et al.;2023;2-3;3;2001;16,01;China;Not specified;0,57;0;no;"Student's life satisfaction scale (SLSS; Huebner, 1991)";0,72;0,79;0,76;4;1,01;3,85;1,09;0,54;0,5;Asia;Upper middle income;2,29;5,2441;12,008989;-0,49;16,51;0,524095238;0,54;-0,148514851;-0,297029703;0,000465282;0,001861126
11206;12112061;294;2;Yiang et al.;2023;1-2;3;2001;16,01;China;Not specified;0,57;0;no;WHO-5 well-being index;0,83;0,85;0,84;2,91;0,61;3,11;0,62;0,45;0,5;Asia;Upper middle income;2,29;5,2441;12,008989;-0,49;16,51;0,524095238;0,45;0,327868852;0,655737705;0,000576586;0,002306345
11206;12112061;295;2;Yiang et al.;2023;2-3;3;2001;16,01;China;Not specified;0,57;0;no;WHO-5 well-being index;0,83;0,85;0,84;3,11;0,62;2,93;0,6;0,47;0,5;Asia;Upper middle income;2,29;5,2441;12,008989;-0,49;16,51;0,524095238;0,47;-0,290322581;-0,580645161;0,000550796;0,002203186
11234;12112340;296;2;Xiong et al.;2023;1-2;3;1248;13,44;China;Not specified;0,47;0;no;Other;0,95;0,96;0,96;10,36;3,06;10,45;3,08;0,58;0,5;Asia;Upper middle income;-0,28;0,0784;-0,021952;-0,49;13,94;0,524095238;0,58;0,029411765;0,058823529;0,000673423;0,002693694
11234;12112340;297;2;Xiong et al.;2023;2-3;3;1248;13,44;China;Not specified;0,47;0;no;Other;0,95;0,96;0,96;10,45;3,08;10,57;2,91;0,58;0,5;Asia;Upper middle income;-0,28;0,0784;-0,021952;-0,49;13,94;0,524095238;0,58;0,038961039;0,077922078;0,000673685;0,00269474
11522;12115220;298;3;Zhang et al.;2016;1-2;4;374;12,78;U.S.;White/European;0,5;0;no;Satisfaction with life scale ( Diener et al., 1985);0,9;0,94;0,92;3,77;0,67;3,73;0,77;0,63;0,5;North America;High income;-0,94;0,8836;-0,830584;-0,49;13,28;0,524095238;0,63;-0,059701493;-0,119402985;0,001983375;0,007933499
11522;12115220;299;3;Zhang et al.;2016;2-3;4;374;12,78;U.S.;White/European;0,5;0;no;Satisfaction with life scale ( Diener et al., 1985);0,9;0,94;0,92;3,73;0,77;3,76;0,75;0,6;0,5;North America;High income;-0,94;0,8836;-0,830584;-0,49;13,28;0,524095238;0,6;0,038961039;0,077922078;0,002141067;0,008564267
