StudyName;Sample;Domain;StudyType;Task;Stimulus;MeasureType;M.Mono;SD.Mono;N.Mono;M.Biling;SD.Biling;N.Biling;g;vg
Lee & Chan (2000);1;Inhibition;Peer;Stroop;V;RT;8,04;4,38;35;9,25;4,87;50;-0,26;0,05
Rosselli et al. (2000);1;Fluency;Peer;Category Fluency;V;O;26,4;7,6;19;31,7;7,2;18;-0,70;0,12
Rosselli et al. (2000);1;Fluency;Peer;Letter Fluency;V;O;35,2;13,8;19;34,9;11,2;18;0,02;0,11
Gollan et al. (2002);1;Fluency;Peer;Category Fluency;V;O;;;30;;;30;-0,87;0,07
Gollan et al. (2002);1;Fluency;Peer;Letter Fluency;V;O;;;30;;;30;-0,39;0,07
Rosselli et al. (2002);1;Inhibition;Peer;Stroop;V;RT;97,91;27,44;11;112,85;30,18;71;-0,50;0,11
Rosselli et al. (2002);1;Monitoring;Peer;Stroop;V;RT;45,73;5,39;11;46,89;10,01;71;-0,12;0,11
Boutla (2003);1;WM;Peer;Simple Span FW;V;O;7,05;1,19;20;6,08;1,24;12;0,78;0,14
Bialystok et al. (2004);1;Inhibition;Peer;Simon;NV;RT;535;231,2;10;40;32,2;10;2,87;0,45
Bialystok et al. (2004);1;Monitoring;Peer;Simon;NV;RT;770;132,8;10;497;252,5;10;1,30;0,25
Bialystok et al. (2004);2;Inhibition;Peer;Simon;NV;RT;1713;971,7;10;748;806,6;10;1,03;0,23
Bialystok et al. (2004);2;Monitoring;Peer;Simon;NV;RT;1437;560,6;10;911;374,2;10;1,06;0,23
Bialystok et al. (2004);3;Inhibition;Peer;Simon;NV;RT;123;88,8;32;27,3;8;32;1,73;0,09
Bialystok et al. (2004);3;Monitoring;Peer;Simon;NV;RT;667;76,2;32;382;39,9;32;4,63;0,24
Bialystok et al. (2004);3;WM;Peer;LNS;V;O;28;4,5;32;28,8;4,6;32;-0,17;0,06
Bialystok et al. (2004);3;WM;Peer;LNS;V;O;24;4,8;32;25,1;4,8;32;-0,23;0,06
Bialystok et al. (2004);4;Inhibition;Peer;Simon;NV;RT;583;174,9;15;212;180,6;15;2,03;0,21
Bialystok et al. (2004);4;Monitoring;Peer;Simon;NV;RT;1012;216,2;15;1046;204;15;-0,16;0,13
Bialystok et al. (2004);4;WM;Peer;LNS;V;O;24;2,9;15;22,4;1,9;15;0,63;0,14
Bialystok et al. (2004);4;WM;Peer;LNS;V;O;23;5,1;15;21,6;2,8;15;0,33;0,14
Bialystok et al. (2004);5;Inhibition;Peer;Simon;NV;RT;766;68,4;10;358;29,6;10;7,41;1,89
Bialystok et al. (2004);5;Monitoring;Peer;Simon;NV;RT;532;66;10;335;26,7;10;3,75;0,63
Bialystok et al. (2004);5;WM;Peer;LNS;V;O;28,1;3,4;10;27,8;3,8;10;0,08;0,20
Bialystok et al. (2004);5;WM;Peer;LNS;V;O;28;4;10;25,4;4,2;10;0,61;0,21
Bialystok et al. (2005);1;Inhibition;Peer;Simon;NV;RT;499;94;10;475;80;10;0,26;0,20
Bialystok et al. (2005);1;Monitoring;Peer;Simon;NV;RT;425;76;10;415;64;10;0,14;0,20
Bialystok et al. (2005);2;Inhibition;Peer;Simon;NV;RT;499;94;10;397;62;9;1,21;0,26
Bialystok et al. (2005);2;Monitoring;Peer;Simon;NV;RT;425;76;10;348;46;9;1,12;0,25
Bialystok et al. (2006);1;WM;Peer;LNS;V;O;15,4;5,1;24;16;4,8;24;-0,12;0,08
Bialystok, Craik, & Ryan (2006);1;Inhibition;Peer;Antisaccade;NV;ACC;0,15;0,14;24;0,19;0,15;24;-0,27;0,08
Bialystok, Craik, & Ryan (2006);2;Inhibition;Peer;Antisaccade;NV;ACC;0,19;0,18;24;0,19;0,15;24;0,00;0,08
Bialystok, Craik, & Ryan (2006);3;Inhibition;Peer;Antisaccade;NV;ACC;0,01;0,02;24;0,01;0,03;24;0,00;0,08
Bialystok, Craik, & Ryan (2006);4;Inhibition;Peer;Antisaccade;NV;ACC;0,02;0,02;24;0,03;0,04;24;-0,31;0,08
Craik & Bialystok (2006);1;WM;Peer;LNS;V;O;36,5;8,5;15;34,8;7,6;15;0,21;0,13
Craik & Bialystok (2006);1;WM;Peer;Simple Span FW;V;O;74,1;22,9;15;66,3;23,3;15;0,33;0,14
Craik & Bialystok (2006);2;WM;Peer;LNS;V;O;21,4;10,7;15;33,5;12,7;15;-1,00;0,15
Craik & Bialystok (2006);2;WM;Peer;Simple Span FW;V;O;52,5;23;15;71,8;27,5;15;-0,74;0,14
Ransdell et al. (2006);1;WM;Peer;Complex Span;V;O;37,9;11,3;58;35,6;9,8;48;0,22;0,04
Ransdell et al. (2006);2;WM;Peer;Complex Span;V;O;44,8;5,64;58;35,6;9,8;31;1,06;0,06
DePape (2007);1;Inhibition;Other;Stroop ;V;RT;764,7;166,1;24;661,9;164,8;15;0,61;0,11
DePape (2007);1;Inhibition;Other;Stroop;NV;RT;533,2;88,5;24;470,5;49,7;15;0,81;0,12
DePape (2007);1;Monitoring;Other;Stroop;V;RT;675,1;126;24;621,5;127,2;15;0,42;0,11
DePape (2007);1;Monitoring;Other;Stroop;NV;RT;561,1;79,8;24;494,2;63;15;0,89;0,12
Fernandes et al. (2007);1;WM;Peer;Simple Span;V;O;16,7;1,5;26;16,8;1,5;26;-0,07;0,08
Fernandes et al. (2007);2;WM;Peer;Simple Span;V;O;16,7;0,9;26;15,8;1,2;26;0,84;0,08
Nikolova (2007);1;Inhibition;Other;Stroop;V;RT;861,03;87,28;12;768,29;59,59;12;1,20;0,20
Nikolova (2007);1;Monitoring;Other;Stroop;V;RT;774,81;72,44;12;750,81;66,12;12;0,33;0,17
Nikolova (2007);2;Inhibition;Other;Stroop;V;RT;889,15;129,71;17;759,25;62,24;17;1,25;0,14
Nikolova (2007);2;Monitoring;Other;Stroop;V;RT;795,83;92,76;17;744,96;61,09;17;0,63;0,12
Nikolova (2007);2;WM;Other;Simple Span BW;V;O;7,12;2,15;17;5,71;1,86;17;0,68;0,13
Nikolova (2007);2;WM;Other;Simple Span FW;V;O;9,82;1,74;17;9,65;1,97;17;0,09;0,12
Portocarrero et al. (2007);1;Fluency;Peer;Category Fluency;V;O;46,2;9,1;32;54,8;10,6;34;-0,86;0,07
Portocarrero et al. (2007);1;Fluency;Peer;Letter Fluency;V;O;35;7,5;39;36,9;10,1;39;-0,21;0,05
Badzakova-Trajkov (2008);1;Inhibition;Other;Stroop;V;RT;704,46;183,6;13;815,82;207,15;11;-0,55;0,18
Badzakova-Trajkov (2008);2;Inhibition;Other;Stroop;V;RT;7,48;3,92;13;6,33;2,87;10;0,32;0,18
Badzakova-Trajkov (2008);3;Inhibition;Other;Stroop;V;RT;7,48;3,92;13;7,44;3,49;10;0,01;0,18
Badzakova-Trajkov (2008);4;Inhibition;Other;Stroop;V;RT;18,27;11,97;16;9,07;8,69;12;0,83;0,16
Badzakova-Trajkov (2008);5;Inhibition;Other;Stroop;V;RT;18,27;11,97;16;9,52;8,91;12;0,79;0,16
Bialystok et al. (2008a);1;Attention;Peer;SART;V;ACC;95,9;2,7;24;96,2;3,5;24;-0,09;0,08
Bialystok et al. (2008a);1;Fluency;Peer;Category Fluency;V;O;21,3;3,8;24;23,3;5,4;24;-0,42;0,09
Bialystok et al. (2008a);1;Fluency;Peer;Letter Fluency;V;O;42,4;11,1;24;49,8;7,4;24;-0,77;0,09
Bialystok et al. (2008a);1;Inhibition;Peer;Stroop;V;RT;234;87;24;176;78;24;0,69;0,09
Bialystok et al. (2008a);1;Inhibition;Peer;Stroop;NV;RT;8,2;20,2;24;22,3;35,2;24;-0,48;0,09
Bialystok et al. (2008a);1;WM;Peer;Simple Span BW;NV;O;3,5;0,7;24;2,8;1,2;24;0,70;0,09
Bialystok et al. (2008a);1;WM;Peer;Simple Span FW;NV;O;3,8;1,2;24;3,3;0,9;24;0,46;0,09
Bialystok et al. (2008a);2;Attention;Peer;SART;V;ACC;94,7;5,4;24;96,9;3,2;24;-0,49;0,09
Bialystok et al. (2008a);2;Fluency;Peer;Category Fluency;V;O;15,7;5,4;24;20,1;3,9;24;-0,92;0,09
Bialystok et al. (2008a);2;Fluency;Peer;Letter Fluency;V;O;34,9;13,9;24;45,4;7,7;24;-0,92;0,09
Bialystok et al. (2008a);2;Inhibition;Peer;Stroop;V;RT;309;112;24;263;78;24;0,47;0,09
Bialystok et al. (2008a);2;Inhibition;Peer;Stroop;NV;RT;60,7;143,1;24;0,2;7,7;24;0,59;0,09
Bialystok et al. (2008a);2;WM;Peer;Simple Span BW;NV;O;2,3;0,7;24;2,5;0,7;24;-0,28;0,08
Bialystok et al. (2008a);2;WM;Peer;Simple Span FW;NV;O;3,5;0,8;24;3,5;0,8;24;0,00;0,08
Bialystok et al. (2008b);1;Fluency;Peer;Category Fluency;V;O;22,3;3,9;24;23,3;5,4;12;-0,20;0,13
Bialystok et al. (2008b);1;Fluency;Peer;Letter Fluency;V;O;14,6;3,8;24;16,6;2,5;12;-0,66;0,13
Bialystok et al. (2008b);1;WM;Peer;Simple Span BW;NV;O;3,6;0,5;24;2,8;1,2;12;0,76;0,13
Bialystok et al. (2008b);1;WM;Peer;Simple Span FW;NV;O;3,8;1,2;24;3,3;0,9;12;0,49;0,13
Bialystok et al. (2008b);2;Fluency;Peer;Category Fluency;V;O;20,3;3,6;24;23,3;5,4;12;-0,60;0,13
Bialystok et al. (2008b);2;Fluency;Peer;Letter Fluency;V;O;13,7;3,7;24;16,6;2,5;12;-0,96;0,14
Bialystok et al. (2008b);2;WM;Peer;Simple Span BW;NV;O;3,3;0,9;24;2,8;1,2;12;0,44;0,13
Bialystok et al. (2008b);2;WM;Peer;Simple Span FW;NV;O;3,8;1,3;24;3,3;0,9;12;0,47;0,13
Bialystok et al. (2008b);3;Fluency;Peer;Category Fluency;V;O;21,4;4,8;16;20;4,8;26;0,29;0,10
Bialystok et al. (2008b);3;Fluency;Peer;Letter Fluency;V;O;15,7;3,9;16;12,9;3,4;26;0,74;0,11
Bialystok et al. (2008b);3;WM;Peer;Simple Span BW;NV;O;10,1;2,4;16;10,8;2,3;26;-0,29;0,10
Bialystok et al. (2008b);3;WM;Peer;Simple Span FW;NV;O;9,6;2,3;16;10,4;1,4;26;-0,39;0,10
Bialystok et al. (2008b);4;Fluency;Peer;Category Fluency;V;O;16,7;5,3;16;20;4,8;24;-0,63;0,11
Bialystok et al. (2008b);4;Fluency;Peer;Letter Fluency;V;O;11,7;3,6;16;12,9;3,4;24;-0,33;0,11
Bialystok et al. (2008b);4;WM;Peer;Simple Span BW;NV;O;9;2,7;16;10,8;2,3;24;-0,69;0,11
Bialystok et al. (2008b);4;WM;Peer;Simple Span FW;NV;O;9,7;2,1;16;10,4;1,4;24;-0,37;0,11
Blumenfeld (2008);1;Inhibition;Peer;Stroop;NV;RT;469,7;57,81;24;469,5;57,81;24;0,00;0,08
Blumenfeld (2008);1;Inhibition;Peer;Stroop;NV;RT;491,8;58,79;24;494,2;58,79;24;-0,04;0,08
Blumenfeld (2008);1;Inhibition;Peer;Stroop;V;RT;472,8;49,48;24;457,7;49,48;24;0,30;0,08
Blumenfeld (2008);1;Monitoring;Peer;Stroop;NV;RT;425,3;50,95;24;423,8;50,95;24;0,03;0,08
Blumenfeld (2008);1;Monitoring;Peer;Stroop;NV;RT;442,4;50,95;24;445,4;50,95;24;-0,06;0,08
Blumenfeld (2008);1;Monitoring;Peer;Stroop;V;RT;445,7;38,7;24;423,9;38,7;24;0,55;0,09
Blumenfeld (2008);1;WM;Peer;Simple Span FW;V;RT;17,6;2,4;24;17,4;2;24;0,09;0,08
Chichibu et al. (2008);1;Inhibition;Other;Simon;NV;RT;41,24;28,36;18;17,67;20,83;18;0,93;0,12
Chichibu et al. (2008);1;WM;Other;Simple Span BW;NV;O;10,29;1,6;18;8;1,53;18;1,43;0,14
Chichibu et al. (2008);1;WM;Other;Simple Span FW;NV;O;11,22;1,9;18;8,44;2,38;18;1,26;0,14
Chichibu et al. (2008);1;WM;Other;Simple Span BW;V;O;10,06;1,96;18;6,22;2,07;18;1,86;0,16
Chichibu et al. (2008);1;WM;Other;Simple Span FW;V;O;12,61;1,79;18;10,72;2,16;18;0,93;0,12
Costa et al. (2008);1;Attention;Peer;Flanker Alerting;NV;RT;22;40;100;32;47;100;-0,23;0,02
Costa et al. (2008);1;Attention;Peer;Flanker;NV;RT;609;67;100;590;57;100;0,30;0,02
Costa et al. (2008);1;Inhibition;Peer;Flanker;NV;RT;107;80;100;97;60;100;0,14;0,02
Costa et al. (2008);1;Monitoring;Peer;Flanker;NV;RT;74;47;100;79;60;100;-0,09;0,02
Feng (2008);1;WM;Other;LNS;NV;O;4,3;1,1;22;4,1;0,8;22;0,20;0,09
Feng (2008);1;WM;Other;LNS;V;O;4,5;0,7;22;4,7;0,8;22;-0,26;0,09
Feng (2008);1;WM;Other;Simple Span FW ;NV;O;5,7;0,6;22;5,6;0,9;22;0,13;0,09
Feng (2008);2;WM;Other;LNS;NV;O;6;0,2;49;5,8;0,2;45;0,99;0,05
Feng (2008);2;WM;Other;LNS;V;O;6,8;0,2;49;6,6;0,2;45;0,99;0,05
Feng (2008);2;WM;Other;Simple Span FW;NV;O;5,7;0,1;49;5,2;0,2;45;3,09;0,10
Feng (2008);2;WM;Other;Simple Span FW;V;O;5,8;0,2;49;5,7;0,1;45;0,64;0,04
Luk (2008);1;Fluency;Other;Category Fluency;V;O;39,6;9,1;39;40,7;7,6;22;-0,13;0,07
Luk (2008);1;Fluency;Other;Letter Fluency;V;O;44,4;8,4;39;37,2;10,6;22;0,72;0,08
Luk (2008);1;Inhibition;Other;Flanker;NV;RT;565;68,94;40;533;49,25;22;0,50;0,07
Luk (2008);1;Monitoring;Other;GoNogo;NV;RT;601;92,34;40;571;83,6;22;0,33;0,07
Luk (2008);1;WM;Other;Simple Span BW;NV;O;10,7;2,7;40;9,9;2,8;22;0,29;0,77
Luk (2008);1;WM;Other;Simple Span FW;NV;O;9,7;2,9;40;8,9;2,7;22;0,29;0,07
Luk (2008);2;Fluency;Other;Category Fluency;V;O;32;6,6;39;40,7;7,6;29;-1,20;0,07
Luk (2008);2;Fluency;Other;Letter Fluency;V;O;32,4;9,8;39;37,2;10,6;29;-0,46;0,06
Luk (2008);2;Inhibition;Other;Flanker;NV;RT;565;68,94;40;569;59,24;29;-0,06;0,06
Luk (2008);2;Monitoring;Other;GoNogo;NV;RT;601;92,34;40;638;91,55;29;-0,40;0,06
Luk (2008);2;WM;Other;Simple Span BW;NV;O;9,6;2,9;40;9,9;2,8;29;-0,10;0,06
Luk (2008);2;WM;Other;Simple Span FW;NV;O;9,2;2,3;40;8,9;2,7;29;0,12;0,06
Luk (2008);3;Fluency;Other;Category Fluency;V;O;40,4;10,2;39;40,7;7,6;38;-0,03;0,05
Luk (2008);3;Fluency;Other;Letter Fluency;V;O;46;12,2;39;37,2;10,6;36;0,76;0,06
Luk (2008);3;Inhibition;Other;Flanker;NV;RT;565;68,94;40;548;67,81;38;0,25;0,05
Luk (2008);3;Monitoring;Other;GoNogo;NV;RT;601;92,34;40;602;104,8;38;-0,01;0,05
Luk (2008);3;WM;Other;Simple Span BW;NV;O;9,9;2,7;40;9,9;2,8;38;0,00;0,05
Luk (2008);3;WM;Other;Simple Span FW;NV;O;9,6;2,4;40;8,9;2,7;38;0,27;0,05
Luk (2008);4;Fluency;Other;Category Fluency;V;O;36,4;7,6;39;40,7;7,6;21;-0,56;0,08
Luk (2008);4;Fluency;Other;Letter Fluency;V;O;33,7;12;39;37,2;10,6;20;-0,31;0,08
Luk (2008);4;Inhibition;Other;Flanker;NV;RT;565;68,94;40;577;64,16;21;-0,18;0,07
Luk (2008);4;Monitoring;Other;GoNogo;NV;RT;601;92,34;40;641;91,65;21;-0,43;0,07
Luk (2008);4;WM;Other;Simple Span BW;NV;O;9,1;3;40;9,9;2,8;21;-0,28;0,07
Luk (2008);4;WM;Other;Simple Span FW;NV;O;8,5;2,8;40;8,9;2,7;21;-0,14;0,07
Bialystok & DePape (2009);1;Shifting;Peer;Trail Making;V;RT;40,5;10,8;24;37,7;10;24;0,26;0,08
Bialystok & DePape (2009);1;WM;Peer;Simple Span BW;NV;O;8,8;1,6;24;8,4;1,7;24;0,24;0,08
Bialystok & DePape (2009);1;WM;Peer;Simple Span FW;NV;O;9,5;0,9;24;8,9;1,3;24;0,53;0,09
Costa et al. (2009);1;Inhibition;Peer;Flanker;NV;RT;139;52;31;112;33;31;0,61;0,07
Costa et al. (2009);1;Monitoring;Peer;Flanker;NV;RT;562;58;31;530;35;31;0,66;0,07
Costa et al. (2009);2;Inhibition;Peer;Flanker;NV;RT;90;31;31;91;39;31;-0,03;0,06
Costa et al. (2009);2;Monitoring;Peer;Flanker;NV;RT;587;73;31;531;43;31;0,92;0,07
Gutierrez (2009);1;Inhibition;Other;Simon;NV;RT;27,78;70,59;84;54,3;72,77;61;-0,37;0,03
Gutierrez (2009);1;Monitoring;Other;Simon;NV;RT;859,31;196,43;84;903,84;216,07;61;-0,22;0,03
Kaushanskaya & Marian (2009);1;WM;Peer;Simple Span;V;O;74,95;20,21;20;77,55;19,72;20;-0,13;0,10
Kaushanskaya & Marian (2009);2;WM;Peer;Simple Span;V;O;76,67;20,75;20;77,55;19,72;20;-0,04;0,10
Pinto (2009);1;Inhibition;Other;Simon;NV;RT;6,52;57,33;15;48,82;35,59;15;-0,86;0,15
Pinto (2009);2;Inhibition;Other;Simon;NV;RT;59,52;172,89;15;37,81;63,95;15;0,16;0,13
Pinto (2009);2;Monitoring;Other;Simon;NV;RT;574,67;9977;15;566,23;74,37;15;0,09;0,13
Romano (2009);1;Inhibition;Other;Simon;NV;RT;42,02;27,91;20;18,14;30,49;23;0,80;0,10
Romano (2009);1;WM;Other;Complex Span;V;ACC;0,65;0,14;22;0,68;0,13;23;-0,22;0,09
Romano (2009);1;WM;Other;LNS;V;O;10,57;2,69;22;10,8;2,95;23;-0,08;0,09
Romano (2009);1;WM;Other;Simple Span FW;V;O;9,87;1,94;22;10,8;2,07;23;-0,46;0,09
Romano (2009);1;WM;Other;Simple Span FW;NV;O;9;1,57;22;8,15;2,01;23;0,46;0,09
Romano (2009);1;WM;Other;Simple Span BW;V;O;6,17;2,1;22;6,25;2;23;0,04;0,09
Romano (2009);1;WM;Other;Simple Span BW;NV;O;8,65;1,5;22;7,85;1,46;23;0,53;0,09
Romano (2009);2;Inhibition;Other;Simon;NV;RT;47,06;32,2;20;46,51;38,17;17;0,02;0,11
Romano (2009);2;WM;Other;Complex Span;V;O;0,52;0,2;21;0,54;0,13;18;-0,12;0,10
Romano (2009);2;WM;Other;LNS;V;O;8,56;2,2;21;9,15;1,81;18;-0,30;0,10
Romano (2009);2;WM;Other;Simple Span FW;V;O;9,56;2,36;21;10,1;2,22;18;-0,23;0,10
Romano (2009);2;WM;Other;Simple Span FW;NV;O;6,72;2,05;21;5,65;1,69;18;0,56;0,11
Romano (2009);2;WM;Other;Simple Span BW;V;O;6,33;1,75;21;5,9;2,36;18;0,20;0,10
Romano (2009);2;WM;Other;Simple Span BW;NV;O;5,83;1,82;21;5,25;1,59;18;0,33;0,10
Waldie et al. (2009);1;Inhibition;Peer;Stroop;NV;RT;37,88;54,18;10;-30,13;125,17;8;0,70;0,24
Duncan (2010);1;Inhibition;Other;Simon;NV;RT;397,74;223,68;16;399,89;230,92;16;-0,08;0,13
Duncan (2010);1;Monitoring;Other;Simon;NV;RT;27,18;161,56;16;38,51;116,44;16;-0,01;0,13
Duncan (2010);1;Monitoring;Other;Task Switching;V;RT;;;16;;;16;-0,12;0,13
Duncan (2010);1;Shifting;Other;Task Switching;V;RT;;;16;;;16;-0,12;0,13
Duncan (2010);1;Shifting;Other;Trail Making;V;RT;1,06;51,6;16;-4,27;42,2;16;0,11;0,13
Duncan (2010);1;WM;Other;LNS;V;O;14,13;12,8;16;13,88;14,68;16;0,02;0,13
Garbin et al. (2010);1;Monitoring;Peer;Task Switching;NV;RT;785;118;21;792;143;16;-0,05;0,10
Garbin et al. (2010);1;Shifting;Peer;Task Switching;NV;RT;33;56;21;3,5;32;16;0,63;0,11
Hernandez et al. (2010);1;Inhibition;Peer;Stroop;V;RT;610;627,51;41;573;422,61;41;0,07;0,05
Hernandez et al. (2010);1;Monitoring;Peer;Stroop;V;RT;543;563,47;41;508;364,98;41;0,07;0,05
Luk et al. (2010);1;WM;Peer;Simple Span;NV;O;8,1;3,7;9;10,1;2,1;9;-0,63;0,24
Luo et al. (2010);1;Fluency;Peer;Category Fluency;V;O;20;6,1;20;21,1;4,2;20;-0,21;0,10
Luo et al. (2010);1;Fluency;Peer;Letter Fluency;V;O;15,4;4;20;11,8;3,5;20;0,94;0,11
Luo et al. (2010);1;WM;Peer;Simple Span BW;NV;O;10,4;2,2;20;11,1;2;20;-0,33;0,10
Luo et al. (2010);1;WM;Peer;Simple Span FW;NV;O;9,4;2,4;20;9,3;2,9;20;0,04;0,10
Luo et al. (2010);2;Fluency;Peer;Category Fluency;V;O;19,1;3,3;20;21,1;4,2;20;-0,52;0,10
Luo et al. (2010);2;Fluency;Peer;Letter Fluency;V;O;11,2;3,3;20;11,8;3,5;20;-0,17;0,10
Luo et al. (2010);2;WM;Peer;Simple Span BW;NV;O;10,1;3;20;11,1;2;20;-0,38;0,10
Luo et al. (2010);2;WM;Peer;Simple Span FW;NV;O;9,7;3,3;20;9,3;2,9;20;0,13;0,10
Martins (2010);1;Inhibition;Other;Simon;NV;RT;757,3;180,9;17;942,7;375,9;17;0,12;0,12
Martins (2010);1;Monitoring;Other;Simon;NV;RT;84,2;105;17;62;237,5;17;-0,61;0,12
Martins (2010);1;WM;Other;Simple Span;V;ACC;;;18;;;18;-0,23;0,11
Moreno et al. (2010);1;WM;Peer;Simple Span;NV;O;16,6;2,4;14;17,4;2,4;14;-0,32;0,15
Prior & MacWhinney (2010);1;WM;Peer;Complex Span;V;ACC;56,22;0,49;44;55,82;0,58;44;0,74;0,05
Prior & MacWhinney (2010);1;WM;Peer;Complex Span;V;ACC;56,38;0,54;44;54,98;0,64;44;2,34;0,08
Prior & MacWhinney (2010);1;Monitoring;Peer;Task Switching;NV;RT;323;154,3;44;304;157,7;44;0,12;0,05
Prior & MacWhinney (2010);1;Shifting;Peer;Task Switching;NV;RT;206;134,2;44;144;109,7;44;0,50;0,05
Salvatierra & Rosselli (2010);1;Inhibition;Peer;Simon;NV;RT;37,54;33,3;66;29,41;39,7;67;0,22;0,03
Salvatierra & Rosselli (2010);1;Monitoring;Peer;Simon;NV;RT;433,98;70,5;66;451,42;64,7;67;-0,26;0,03
Salvatierra & Rosselli (2010);2;Inhibition;Peer;Simon;NV;RT;66,9;61,1;42;30,74;41,9;58;0,71;0,04
Salvatierra & Rosselli (2010);2;Monitoring;Peer;Simon;NV;RT;470,45;67;42;499,94;150,5;58;-0,24;0,04
Sandoval (2010);1;Fluency;Other;Category Fluency;V;O;10,9;3,9;36;14,7;3,9;10;-0,96;0,14
Sandoval (2010);1;Fluency;Other;Letter Fluency;V;O;17;5,2;36;20,3;4,3;10;-0,72;0,13
Wodniecka et al. (2010);1;WM;Peer;Simple Span BW;NV;O;8;2,2;22;8,5;1,6;22;-0,26;0,09
Wodniecka et al. (2010);1;WM;Peer;Simple Span BW;V;O;7,7;1,8;22;7,5;2,1;22;0,10;0,09
Wodniecka et al. (2010);1;WM;Peer;Simple Span FW;NV;O;9,2;2;22;9,9;1,7;22;-0,37;0,09
Wodniecka et al. (2010);1;WM;Peer;Simple Span FW;V;O;8,9;2,5;22;10,6;2;22;-0,74;0,10
Wodniecka et al. (2010);2;WM;Peer;Simple Span BW;NV;O;5,7;1,8;19;5,6;1,1;19;0,07;0,11
Wodniecka et al. (2010);2;WM;Peer;Simple Span BW;V;O;6,9;1,7;19;6,9;2,4;19;0,00;0,11
Wodniecka et al. (2010);2;WM;Peer;Simple Span FW;NV;O;6,7;1,6;19;6,5;1,7;19;0,12;0,11
Wodniecka et al. (2010);2;WM;Peer;Simple Span FW;V;O;7,7;2,4;19;8,6;1,5;19;-0,44;0,11
Wodniecka et al. (2010);3;WM;Peer;LNS;NV;O;6,1;0,9;26;5,6;1,2;24;0,47;0,08
Wodniecka et al. (2010);4;WM;Peer;LNS;NV;O;4,2;1,3;23;4,1;1,1;20;0,08;0,09
Billig & Scholl (2011);1;Inhibition;Peer;Stroop;NV;RT;92,9;188,1;21;19,5;187,8;20;0,38;0,10
Billig & Scholl (2011);1;Inhibition;Peer;Stroop;V;RT;46,6;191,7;21;28,3;215,9;20;0,09;0,10
Billig & Scholl (2011);1;Monitoring;Peer;Stroop;NV;RT;624,6;253,9;21;569;175,4;20;0,25;0,10
Billig & Scholl (2011);1;Monitoring;Peer;Stroop;V;RT;693,8;269,1;21;632,4;203,9;20;0,25;0,10
Billig & Scholl (2011);2;Inhibition;Peer;Stroop;NV;RT;100,3;176,4;21;57,8;167,5;21;0,24;0,10
Billig & Scholl (2011);2;Inhibition;Peer;Stroop;V;RT;43,7;168,7;21;63;117,6;21;-0,13;0,10
Billig & Scholl (2011);2;Monitoring;Peer;Stroop;NV;RT;881,4;477;21;749,8;401;21;0,29;0,10
Billig & Scholl (2011);2;Monitoring;Peer;Stroop;V;RT;814,2;369,9;21;721,6;319,6;21;0,26;0,10
Blumenfeld & Marian (2011);1;Monitoring;Peer;Stroop;NV;ACC;93,4;6,57;30;90,2;6,57;30;0,48;0,07
Blumenfeld & Marian (2011);1;WM;Peer;Simple Span FW;V;O;17,6;2,5;30;17,5;2,1;30;0,04;0,07
Bonifacci et al. (2011);1;Inhibition;Peer;GoNogo;NV;ACC;94,58;4,85;16;90,42;22,59;16;0,25;0,13
Bonifacci et al. (2011);1;Inhibition;Peer;GoNogo;NV;ACC;9,58;22,59;16;5,42;4,85;16;0,25;0,13
Luk et al. (2011);1;Inhibition;Peer;Flanker;NV;RT;565,2;70,3;38;557,9;80,9;43;0,09;0,05
Luk et al. (2011);1;Monitoring;Peer;Flanker;NV;RT;397,4;51,5;38;415,8;76,4;43;-0,28;0,05
Luk et al. (2011);1;WM;Peer;Simple Span;NV;O;9,7;2,3;38;9,2;2,6;43;0,20;0,05
Luk et al. (2011);2;Inhibition;Peer;Flanker;NV;RT;565,2;70,3;38;569,8;87,2;42;-0,06;0,05
Luk et al. (2011);2;Monitoring;Peer;Flanker;NV;RT;397,4;51,5;38;405,7;53,3;42;-0,16;0,05
Luk et al. (2011);2;WM;Peer;Simple Span;NV;O;9,1;2,6;38;9,2;2,6;42;-0,04;0,05
Prior & Gollan (2011);1;Fluency;Peer;Category Fluency;V;O;30,1;4,8;47;35,9;4;41;-1,31;0,06
Prior & Gollan (2011);1;Monitoring;Peer;Task Switching;NV;RT;235;115;47;230;86;41;0,05;0,05
Prior & Gollan (2011);1;Shifting;Peer;Task Switching;NV;RT;170;75;47;158;85;41;0,15;0,05
Prior & Gollan (2011);2;Fluency;Peer;Category Fluency;V;O;35,2;3,3;47;35,9;4;43;-0,19;0,04
Prior & Gollan (2011);2;Monitoring;Peer;Task Switching;NV;RT;235;115;47;223;109;43;0,11;0,04
Prior & Gollan (2011);2;Shifting;Peer;Task Switching;NV;RT;170;75;47;170;80;43;0,00;0,04
Soveri et al. (2011);1;WM;Peer;Simple Span BW;V;O;5,8;1,3;18;5,4;1,3;17;0,30;0,12
Soveri et al. (2011);1;WM;Peer;Simple Span FW;V;O;6,9;1;18;6,1;1,2;17;0,71;0,12
Soveri et al. (2011);2;WM;Peer;Simple Span BW;V;O;4,8;0,9;14;5,1;1,1;16;-0,29;0,14
Soveri et al. (2011);2;WM;Peer;Simple Span FW;V;O;6;1,3;14;6,2;0,7;16;-0,18;0,13
